2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289583 | Name: UA Threadborne Siro | Wear: Men’s  Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287965 | Name: UA Shin Guard Sleeves | Wear: Men’s  Soccer Equipment | Price: $9.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306443 | Name: UA Tech™ Graphic | Wear: Men’s  Shorts | Price: $25.00 | Colors: 0  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1285676 | Name: UA Threadborne Slingflex | Wear: Men’s Shoes | Price: $99.99 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1276218 | Name: UA Matchup | Wear: Women’s Shorts | Price: $27.99 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1281291 | Name: UA Isolation | Wear: Men’s  Basketball Shorts | Price: $34.99 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1295997 | Name: Infant UA Curry 4 Mid | Wear: Boys’ Basketball Shoes | Price: $59.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1283380 | Name: UA Threadborne Streaker V-Neck | Wear: Men’s  Running Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1295996 | Name: Pre-School UA Curry 4 Mid | Wear: Boys’ Basketball Shoes | Price: $79.99 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1295995 | Name: Grade School UA Curry 4 Mid  | Wear: Boys’ Basketball Shoes | Price: $109.99 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3333333 | Name: UA Summer Shorts | Wear: Men's Shorts | Price: $34.99 | Colors: 5
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3020673 | Name: UA Micro G® Assert 7 | Wear: Men’s  Running Shoes | Price: $70.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1292879 | Name: SC30 Drive Crew | Wear: Men’s  Basketball Sock | Price: $19.99 - $20.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289650 | Name: UA Threadborne Train Twist V-Neck | Wear: Women’s Short Sleeve Shirt | Price: $20.9 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000029 | Name: UA Street Encounter IV | Wear: Men’s Lifestyle Shoes | Price: $60.00 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3020670 | Name: Grade School UA HOVR Phantom | Wear: Boys’ Running Shoes | Price: $100.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1298357 | Name: SC30 ICDAT | Wear: Men’s  Basketball Short Sleeve Shirt | Price: $34.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1290620 | Name: UA Challenger Knit  | Wear: Men’s  Soccer Shorts | Price: $24.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1292873 | Name: UA Basketball Drive Crew | Wear: Men’s  Basketball Sock | Price: $18.00 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1233665 | Name: Boys’ UA Locker Short Sleeve  | Wear: Boys’ Short Sleeve Shirt | Price: $19.99 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1300002 | Name: Charged Cotton® V-Neck Undershirt – 2-Pack | Wear: Men’s  Short Sleeve Shirt | Price: $40.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1309551 | Name: UA Showdown Vented | Wear: Men’s  Golf Shorts | Price: $70.00 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1300000 | Name: Charged Cotton® Crew Undershirt – 2-Pack | Wear: Men’s  Short Sleeve Shirt | Price: $40.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1270927 | Name: UA Maquina | Wear: Men’s  Soccer Shorts | Price: $22.99 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1286334 | Name: UA Storm Armour Fleece® ¼ Zip | Wear: Men’s  Long Sleeve Shirt | Price: $32.99 - $41.2 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1270926 | Name: UA Maquina Jersey | Wear: Men’s  Soccer Short Sleeve Shirt | Price: $29.99 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306434 | Name: UA MK-1 | Wear: Men’s  Shorts | Price: $35.00 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1258568 | Name: UA Tech™ V-Neck - Twist | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000416 | Name: UA ICON Curry 1 Mid | Wear: Men’s Custom Basketball Shoes | Price: $160.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1297126 | Name: UA Fly-By Printed | Wear: Women’s Running Shorts | Price: $22.4 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000414 | Name: UA ICON Curry 1 Mid | Wear: Kids&#x27; Custom Basketball Shoes | Price: $130.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1297125 | Name: UA Fly-By | Wear: Women’s Running Shorts | Price: $18.7 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1302646 | Name: Pre-School UA Primed 2 Adjustable Closure | Wear: Boys’ Running Shoes | Price: $57.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1288382 | Name: UA Ignite II | Wear: Men’s  Surf Slides | Price: $34.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1319510 | Name: UA Speedpocket 2-in-1 | Wear: Women’s Running Shorts | Price: $55.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3020667 | Name: Grade School UA HOVR Phantom | Wear: Girls’ Running Shoes | Price: $100.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306196 | Name: UA Space the Floor | Wear: Boys’ Basketball Shorts | Price: $30.00 | Colors: 8  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1250592 | Name: UA Valsetz RTS | Wear: Women’s Tactical Boots | Price: $119.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1309548 | Name: UA Showdown Tapered | Wear: Men’s  Golf Shorts | Price: $65.00 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1309547 | Name: UA Showdown | Wear: Men’s  Golf Shorts | Price: $65.00 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1295429 | Name: Southampton Replica Jersey | Wear: Men’s  Soccer Short Sleeve Shirt | Price: $90.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1298347 | Name: UA Baseline Graphic | Wear: Men’s  Basketball Short Sleeve Shirt | Price: $24.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3021729 | Name: UA ICON Curry 1 Low  | Wear: Men’s Custom Basketball Shoes | Price: $150.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1240469 | Name: UA Double Double | Wear: Women’s Basketball Shorts | Price: $24.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1296252 | Name: Grade School UA Primed 2 | Wear: Boys’ Running Shoes | Price: $64.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1255839 | Name: UA Tech™ V-Neck | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1292667 | Name: UA Challenger ¾ Pants | Wear: Men’s  Soccer Pants | Price: $44.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1271940 | Name: UA Tech™ Mesh | Wear: Men’s  Shorts | Price: $29.99 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306428 | Name: UA MK-1 | Wear: Men’s  Short Sleeve Shirt | Price: $30.00 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1268483 | Name: UA Locker | Wear: Women’s Long Sleeve Shirt | Price: $29.99 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306585 | Name: UA Mantra | Wear: Men’s  Fishing Shorts | Price: $60.00 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1268481 | Name: UA Locker | Wear: Women’s Basketball Short Sleeve Shirt | Price: $22.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1228539 | Name: UA Tech™ | Wear: Men’s  Short Sleeve Shirt | Price: $19.9 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3020657 | Name: UA Curry 5  | Wear: Men’s Basketball Shoes | Price:   | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1259617 | Name: UA Futbolista Soccer Track | Wear: Men’s Soccer Jackets | Price: $59.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1303265 | Name: UA Lockdown 2 | Wear: Men’s  Basketball Shoes | Price: $64.99 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1268873 | Name: UA Kilchis | Wear: Men’s  Fishing | Price: $69.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1295776 | Name: UA Limitless 3.0 | Wear: Men’s  Shoes | Price: $79.99 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287343 | Name: UA Post Canyon Mid | Wear: Men’s  Hiking Boots | Price: $109.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000007 | Name: UA SpeedForm® Slingshot 2 | Wear: Men’s  Running Shoes | Price: $100.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289596 | Name: UA Seamless | Wear: Men’s  Short Sleeve Shirt | Price: $18.99 - $29.9 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000005 | Name: UA HOVR Sonic Connected | Wear: Men’s  Running Shoes | Price: $110.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1298335 | Name: UA Space the Floor | Wear: Men’s  Basketball Shorts | Price: $34.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000004 | Name: UA HOVR Phantom Connected  | Wear: Men’s  Running Shoes | Price:   | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000165 | Name: UA Spieth 2 | Wear: Men’s  Golf Cleats &amp; Spikes | Price: $200.00 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1295576 | Name: St. Pauli Replica Jersey | Wear: Men’s  Soccer Short Sleeve Shirt | Price: $90.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1295570 | Name: UA Speedpocket 7&quot; | Wear: Men’s Linerless Running Shorts | Price: $44.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1326667 | Name: UA x Stance SC30 Crew  | Wear: Men’s Socks | Price: $20.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1304127 | Name: UA Cage | Wear: Men’s  Shorts | Price: $44.99 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306217 | Name: SC30 ¾ | Wear: Boys’ Basketball Leggings | Price: $35.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3019874 | Name: UA Slingflex Rise | Wear: Men’s  Shoes | Price: $100.00 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1253534 | Name: UA Tech™ V-Neck | Wear: Men’s  Short Sleeve Shirt | Price: $18.9 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287895 | Name: UA Threadborne Wall Goalkeeper | Wear: Men’s  Soccer Long Sleeve Shirt | Price: $44.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1305741 | Name: UA Baseline Performance | Wear: Men’s  Basketball Tank Top | Price: $30.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1309131 | Name: UA Kick it | Wear: Girls’ Soccer Shorts | Price: $20.00 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287499 | Name: UA Field Players Glove | Wear: Men’s  Soccer Glove | Price: $29.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287337 | Name: UA Horizon RTT | Wear: Men’s Trail Running Shoes | Price: $109.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1295768 | Name: UA Threadborne Fortis 3 | Wear: Women’s Running Shoes | Price: $109.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306010 | Name: SC30 Hooded | Wear: Men’s  Basketball Hoodie | Price: $50.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289587 | Name: UA Threadborne Siro V-Neck | Wear: Men’s Short Sleeve Shirt | Price: $17.9 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289586 | Name: UA Threadborne Siro Twist | Wear: Men’s  Short Sleeve Shirt | Price: $17.99 - $22.9 | Colors: 8  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3019908 | Name: UA Ultimate Speed | Wear: Women’s Shoes | Price: $100.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289584 | Name: UA Threadborne Siro Embossed | Wear: Men’s  Short Sleeve Shirt | Price: $17.9 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1236554 | Name: UA Authentic 4” Compression | Wear: Women’s Basketball Shorts | Price: $24.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289583 | Name: UA Threadborne Siro | Wear: Men’s  Short Sleeve Shirt | Price: $17.9 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1307591 | Name: UA Threadborne™ Twist ½ Zip | Wear: Women’s Long Sleeve Shirt | Price: $49.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1257471 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Long Sleeve Shirt | Price: $18.99 - $20.9 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1277207 | Name: UA Tech™ | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1266210 | Name: UA Fat Tire Sandals | Wear: Men’s Sandals | Price: $64.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1285637 | Name: UA HeatGear® Armour | Wear: Women’s Short Sleeve Shirt | Price: $27.99 | Colors: 1  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1253528 | Name: UA Raid Printed 10&quot; | Wear: Men’s  Shorts | Price: $20.99 - $26.9 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1253527 | Name: UA Raid 10&quot; | Wear: Men’s  Shorts | Price: $17.99 - $22.9 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1305735 | Name: UA Select 9&quot; | Wear: Men’s  Basketball Shorts | Price: $40.00 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1285439 | Name: Pre-School UA Micro G® Fuel | Wear: Boys’ Running Shoes | Price: $57.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306367 | Name: UA Accelerate ColdGear® Midlayer | Wear: Men’s  Soccer Long Sleeve Shirt | Price: $110.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1305730 | Name: UA Vector 11&quot; | Wear: Men’s  Basketball Shorts | Price: $35.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1273610 | Name: UA Armour Flex Pro Shin Guards | Wear: Men’s  Soccer Equipment | Price: $19.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1305697 | Name: UA Sprint | Wear: Girls’ Shorts | Price: $25.00 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306361 | Name: UA Accelerate Training | Wear: Men’s  Soccer Short Sleeve Shirt | Price: $60.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1307626 | Name: NFL Men&#x27;s Combine Authentic Lockup T-Shirt | Wear: Men’s  Football Graphic T-Shirt | Price: $35.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306360 | Name: UA Accelerate Training | Wear: Men’s  Soccer Pants | Price: $80.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1305693 | Name: UA Center Spot | Wear: Girls’ Shorts | Price: $25.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1297057 | Name: UA Speedpocket 9&quot; | Wear: Men’s  Running Shorts | Price: $44.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287325 | Name: UA Locker III | Wear: Men’s  Slides | Price: $19.99 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1257469 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Tank Top | Price: $24.99 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1232009 | Name: UA Draft 24 oz. | Wear: Water Bottle | Price: $17.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1257468 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Short Sleeve Shirt | Price: $16.7 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1228908 | Name: UA Team Coaches | Wear: Men’s  Shorts | Price: $34.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1290743 | Name: UA Tide Chaser | Wear: Men’s  Fishing Short Sleeve Shirt | Price: $49.99 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1257466 | Name: UA Raid | Wear: Men’s  Short Sleeve Shirt | Price: $17.99 - $22.4 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287320 | Name: UA Ignite V | Wear: Boys’ Slides | Price: $29.99 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1299934 | Name: Challenger Knit Warm-Up Suit | Wear: Men’s Soccer  | Price: $67.4 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1278817 | Name: UA ClutchFit® Force 3.0 FG | Wear: Men’s  Soccer Cleats &amp; Spikes | Price: $219.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1298279 | Name: SC30 ICDAT | Wear: Boys’ Basketball Short Sleeve Shirt | Price: $29.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1290349 | Name: UA Match Play | Wear: Boys’ Golf Shorts | Price: $39.99 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1305729 | Name: UA Baseline 10&quot; | Wear: Men’s  Basketball Shorts | Price: $30.00 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1297449 | Name: UA Toccoa | Wear: Men’s  Running Shoes | Price: $69.99 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1273609 | Name: UA Armour Flex Shin Guards | Wear: Men’s  Soccer Equipment | Price: $9.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1271517 | Name: UA Streaker | Wear: Women’s Running Short Sleeve Shirt | Price: $29.99 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1309310 | Name: UA Tech™ Prototype 2.0 | Wear: Boys’ Shorts | Price: $20.00 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1306357 | Name: UA Accelerate Training | Wear: Men’s  Soccer Shorts | Price: $55.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1290341 | Name: UA Performance | Wear: Boys’ Golf Short Sleeve Shirt | Price: $29.99 | Colors: 0  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289609 | Name: UA Threadborne Siro | Wear: Men’s  Long Sleeve Shirt | Price: $32.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1265929 | Name: UA Wordmark | Wear: Men’s  Graphic T-Shirt | Price: $17.9 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287319 | Name: UA Ignite VII | Wear: Women’s Slides | Price: $31.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1297242 | Name: UA Desafio 395 Soccer Ball | Wear: Soccer Equipment | Price: $19.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1314587 | Name: UA Accelerate Terrace | Wear: Men’s  Soccer Jackets &amp; Vests | Price: $120.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1292231 | Name: UA Play Up 2.0 | Wear: Women’s Shorts | Price: $18.7 | Colors: 0  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1287318 | Name: UA Ignite V | Wear: Men’s Slides | Price: $34.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1314586 | Name: UA Accelerate Sweatpants | Wear: Men’s  Soccer Pants | Price: $60.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1314585 | Name: UA Accelerate | Wear: Men’s  Soccer Hoodie | Price: $80.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289600 | Name: UA Threadborne Siro ¼ Zip | Wear: Men’s  Long Sleeve Shirt | Price: $44.99 | Colors: 0  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289568 | Name: HeatGear® Armour Long | Wear: Men’s  Shorts | Price: $29.99 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1298664 | Name: UA Charged Bandit 3  | Wear: Women’s Running Shoes | Price: $80.00 | Colors: 8  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289566 | Name: HeatGear® Armour Mid | Wear: Men’s  Shorts | Price: $27.99 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1314580 | Name: UA Challenger II | Wear: Men’s  Soccer Hoodie | Price: $50.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000331 | Name: UA Limitless 3.0 | Wear: Men’s  Shoes | Price: $80.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1298306 | Name: UA Curry 4 | Wear: Men’s  Basketball Shoes | Price: $129.99 | Colors: 8  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3021055 | Name: UA x Project Rock Delta | Wear: Men’s Training Shoes | Price: $140.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1299098 | Name: UA Tech™ Twist | Wear: Women’s Shorts | Price: $29.99 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1320204 | Name: UA Challenger II Training | Wear: Men’s  Soccer Pants | Price: $50.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3020224 | Name: UA Jet Mid | Wear: Men’s  Basketball Shoes | Price: $75.00 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1320203 | Name: UA Woven Graphic Wordmark | Wear: Men’s  Shorts | Price: $30.00 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1296010 | Name: Pre-School UA Jet 2017 | Wear: Boys’ Basketball Shoes | Price: $54.99 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000094 | Name: UA HOVR Sonic Connected | Wear: Women’s Running Shoes | Price: $110.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000093 | Name: UA HOVR Phantom Connected | Wear: Women’s Running Shoes | Price: $140.00 | Colors: 3  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1289957 | Name: HeatGear® Armour | Wear: Boys’ Short Sleeve Shirt | Price: $24.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3020978 | Name: UA HOVR Sonic | Wear: Men’s  Running Shoes | Price: $100.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3020977 | Name: UA HOVR Sonic | Wear: Women’s Running Shoes | Price: $100.00 | Colors: 2  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1257847 | Name: UA Valsetz RTS Side-Zip Tactical | Wear: Men’s  Tactical Boots | Price: $124.99 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1263197 | Name: Boy&#x27;s UA Team Raid  | Wear: Boys’ Shorts | Price: $19.99 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1277142 | Name: UA Qualifier 9&quot; Woven | Wear: Men’s  Shorts | Price: $34.99 | Colors: 6  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 3000329 | Name: UA Ultimate Speed | Wear: Men’s Training Shoes | Price: $99.99 | Colors: 7  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1321420 | Name: UA x Project Rock Cage | Wear: Men’s  Shorts | Price: $60.00 | Colors: 1
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1328329 | Name: UA Kick Off Solid – Pre-School | Wear: Boys’ Shorts | Price: $18.00 | Colors: 4  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1290097 | Name: UA Hybrid Big Logo | Wear: Boys’ Short Sleeve Shirt | Price: $12.50 - $18.9 | Colors: 9  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1304649 | Name: UA Fish Hunter Cargo | Wear: Men’s  Fishing Shorts | Price: $65.00 | Colors: 5  
2018/05/12 16:21:19      Activity: Inserting Backup Data  | Item #: 1304648 | Name: UA Fish Hunter | Wear: Men’s  Fishing Shorts | Price: $55.00 | Colors: 7  
